id	control	cultivar	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
11	ti_Cabernet Sauvignon	Cabernet Sauvignon	0	0	0	0	0	0	0	0	0	0	0	0	0	7700	46979	149527	539711	827942	1980401	2750321	2951138	3028297	3867213	4918761	5219793	4169965	3993137	4936654	3564802	4490054	4591561	3833890	4752282	6043710	10980458	12821241	12063009	14489153	16646632	13229864	6617553	13039126	11355820	10651084	8556337	7426634	3877852	7242258	6004627	nd	5889427	1857999
12	ti_ Caladoc	Caladoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	1100	0	0	0	0	0	2480	3300	4000	2180	8500	4740	nd	5230	108600
13	ti_Campanario	Campanario	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	1660	845	1090	2900	1920	0	0	0	0	0	0	17045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
14	ti_Canaiolo	Canaiolo	596766	607921	552841	257854	372657	730961	300405	467572	423578	987080	475017	701411	812569	403013	345227	455665	271645	139047	266265	182381	131742	218689	222229	35348	29646	16364	11404	2095	1354	1961	4927	47142	500	170	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
15	ti_Carignan	Carignan	0	11796	7537	5693	4535	0	0	0	3231	2621	0	0	406	463	546	1733	1508	359	128366	0	0	48657	0	0	15582	5784	10777	176	0	0	0	20838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
16	ti_Carmenere	Carmenere	1235	18288	22154	4150	33114	54120	35879	96442	149018	100811	70779	132650	102813	19499	123660	89699	61422	41224	35458	15236	55499	23812	8743	3393	1748	10722	878	11115	10100	15050	26460	4120	49380	131949	265819	386202	234940	328254	223269	130269	85264	50125	48990	44414	66632	134180	87402	69275	241808	nd	184268	76625
17	ti_Castelão	Castelão	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	494	494	487	23252	16240	16230	26790	0	0	0	0	0	0	0	nd	0	0
18	ti_Corvina	Corvina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	680	100	1110	1200	1382	1406	1397	419	1890	0	nd	2220	69910
19	ti_Croatina	Croatina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	760	3012	4700	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
20	ti_Cinsaut	Cinsaut	0	0	0	0	0	0	0	0	0	0	0	4148	6229	11047	13522	7195	2446	5871	22362	24663	27386	17020	13230	17745	18060	9500	243012	6000	5700	14800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3430	0	nd	0	0
21	ti_Dom Felder	Dom Felder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17590	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
22	ti_Dolcetto	Dolcetto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4496	5634	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
23	ti_Durif	Durif	0	0	0	0	0	0	0	0	0	0	0	11134	7496	3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
24	ti_Egiodola	Egiodola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188625	325911	373345	512792	625861	859275	1070153	899584	1265676	1366406	1157679	845205	1544746	992241	1059250	911280	1053654	519874	1567341	1047960	nd	1067591	6322152
25	ti_Ekigaina	Ekigaina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1720	0	0	1350	2630	1720	600	1090	0	1340	2070	nd	1990	2202348
26	ti_Festival (Sugraone)	Festival (Sugraone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18007	0	0	0	0	0	0	0	nd	0	0
27	ti_Franconia	Franconia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3633	0	0	9310	0	0	0	0	0	0	0	0	nd	0	0
28	ti_Freisa	Freisa	1661	1519	1005	0	713	1713	1098	0	0	382	0	0	0	213	0	4208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6727	0	0	0	0	0	0	41403	24452	0	22610	14020	nd	25330	0
29	ti_Gamay St Romain	Gamay St Romain	0	0	189	0	0	3498	0	1226	14517	37287	52878	167142	298609	430780	519843	895817	788089	603449	777214	735344	399023	255846	297597	253209	137064	20523	66767	140363	154220	569713	86966	55041	46993	40051	32533	64571	22755	45266	59576	38260	44153	20830	10995	11615	11180	31935	0	12835	12675	nd	0	0
30	ti_Gamay Beaujolais	Gamay Beaujolais	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48410	0	0	447830	175560	558237	364550	311457	386708	506944	548553	528897	320585	450296	215226	557368	351732	230492	342824	508063	339559	249021	320115	316366	208276	84074	164201	163664	135405	113038	121516	45952	150331	152384	nd	143278	5375879
31	ti_Grand Noir	Grand Noir	0	930	603	0	0	3056	1787	0	713	6320	3012	0	0	0	0	27537	21	56	4264	0	0	0	245	410	420	440	378	520	422	0	0	0	459	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
32	ti_Grenache	Grenache	19753	22418	18488	4924	19945	30867	1541	15367	13012	6100	6268	12138	17212	12094	16473	0	15851	6043	12090	18136	3289	1305	484	406	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	nd	1130	1715870
33	ti_Jaen	Jaen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	2824	4290	215	1037	3642	0	0	0	0	0	0	0	0	0	nd	0	0
34	ti_Lagrein	Lagrein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	420	670	5670	3288	800	15300	750	1400	0	1430	2700	nd	3020	94970
35	ti_Lambrusco	Lambrusco	2259	2670	100	0	0	0	0	0	0	949	3566	13886	300	13145	28317	14360	6245	7887	5543	52860	15560	23396	32453	2985	67420	14287	20805	46645	45240	67305	45815	82657	143175	156548	113831	96040	75631	96068	113388	111537	68480	94480	52740	56120	29890	39990	19784	61779	44511	nd	29320	3221972
36	ti_Malbec	Malbec	4097	4884	0	200	6167	2012	1992	2219	2228	2017	0	12745	14466	18205	22839	39347	23431	10121	64701	37043	69305	50169	125463	63531	85941	58659	205117	63518	12977	43135	105730	45079	65886	69353	98686	133965	148733	399928	414138	393256	318059	636608	629019	590041	616160	624096	267885	740327	628780	nd	493966	8502206
37	ti_Marzemina	Marzemina	62546	66569	138699	49930	136790	132188	129224	132412	94683	191801	91706	108290	88008	115906	231695	352748	159440	162480	244605	203600	143957	106385	105326	93335	84677	55191	49350	42699	1390	0	7765	12261	25121	11607	8303	16200	9185	0	0	0	0	5460	0	0	4180	750	0	0	0	nd	0	0
38	ti_Merlot	Merlot	185596	164533	198870	263765	1050036	1409406	1538351	2257565	2793801	3240761	1907623	4618249	5762774	3099201	4939522	6965153	4775740	4310762	6278832	6258967	6440525	4275871	5014804	4827232	5881174	4320777	4230298	5443902	3188079	5071616	6223276	4962355	5836525	6826491	9886980	10632174	8449561	11399362	11866618	8876279	6179006	12510489	9645204	10179782	7846034	8030882	3286035	8309646	6257492	nd	6010486	494356
39	ti_Marselan	Marselan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28868	66815	109574	181823	228360	200025	339023	261314	345504	404323	411105	205095	385945	384278	nd	449156	154348
40	ti_Molinera	Molinera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	650	100	1080	990	1009	1023	1080	324	1480	1900	nd	2198	569
41	ti_Montepulciano	Montepulciano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20721	21150	24390	30820	34060	21190	17959	21115	27678	41888	26280	25640	13330	28008	23306	nd	22968	28485
42	ti_Moscato Bailey	Moscato Bailey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152136	nd	206348	3541181
43	ti_Napa Gamay	Napa Gamay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107495	9665	0	0	102650	57830	193570	149800	194760	283550	258640	254730	348190	270240	238000	216540	290790	248160	136760	39250	265240	225660	114690	175040	179050	74640	0	31410	86650	55550	16380	8970	0	0	0	nd	0	0
44	ti_Nebbiolo	Nebbiolo	0	0	0	0	0	0	0	0	0	700	1400	0	600	0	0	0	357	4000	6454	0	28600	226893	200187	0	0	16293	89670	13639	12305	0	80	0	0	4000	4664	6671	11082	13971	10019	14148	11986	21342	37530	9327	7223	12754	3117	5494	9236	nd	8642	254738
45	ti_Petit Verdot	Petit Verdot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14994	41706	45425	57029	50933	56031	109942	127549	102402	167522	75010	135770	116266	230640	83552	nd	228503	277189
46	ti_Petite Sirah	Petite Sirah	0	0	0	0	0	0	0	0	0	0	0	0	0	836158	33693	73075	99786	61205	140196	223434	208765	86215	102830	92638	117771	112839	92374	222324	78455	109791	177654	109805	106091	28210	64909	137568	87550	99577	77759	121525	29457	98861	149196	105934	47834	48483	24564	92818	110361	nd	174949	198152
47	ti_Pinotage	Pinotage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5861	15236	13483	9527	19945	44697	76979	97269	231618	286349	409495	367315	641203	524028	629762	935337	1851305	1432456	1111531	1181440	1471881	1994817	996781	1113861	1578657	978575	644072	1075863	863296	816883	479202	560195	119773	474105	398794	nd	302532	1281674
48	ti_Pinot Noir	Pinot Noir	0	0	13440	10433	18178	14724	2204	1368	1538	2217	20601	7076	10948	14049	37268	127953	202820	125181	350891	360511	409901	320721	421419	467644	573840	505493	604623	594713	276386	471462	621890	479490	496588	443895	1054529	1704403	1161465	1270351	1930823	1387200	1309849	2513274	2799071	2392357	2592701	3125882	1279105	3676000	3240209	nd	3588106	6184345
49	ti_Pinot Saint George	Pinot Saint George	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47600	45000	83400	67500	118160	84550	159380	187870	199540	189480	209420	210980	171750	195560	255810	121430	114360	10840	114110	176810	48830	72560	28170	29180	0	7600	20920	14120	2480	0	0	0	0	nd	0	0
50	ti_Piriquita	Piriquita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12845	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
51	ti_Rebo	Rebo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	3000	7610	4240	1650	27620	16440	19780	13420	22290	12470	44440	94480	nd	177172	15912
52	ti_Refosco	Refosco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37155	42207	26537	17415	59340	10430	9466	18705	12120	12080	13240	9310	3260	5240	7320	nd	0	380
53	ti_Rondinella	Rondinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	648	100	1150	1020	1089	1053	1110	333	1899	1990	nd	2340	684860
54	ti_Ruby Cabernet	Ruby Cabernet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	426	21	700	6800	4678	0	0	220	2119	5813	13553	16653	17004	16033	24678	42699	76483	178033	264363	595080	546629	654931	782800	679484	532095	379720	582497	470683	526124	486527	388019	220231	382994	248992	nd	218783	78412
55	ti_Sangiovese	Sangiovese	27566	59316	62175	38315	59834	63279	46663	71194	49178	131721	166706	162563	182898	173104	173005	144839	77509	90701	118475	96497	59620	244050	254588	34344	99024	13099	8042	3312	0	0	684	1306	15572	33400	127049	190769	133402	115475	405224	303438	258484	359833	280756	277679	122632	135962	26601	89404	63832	nd	85292	3324793
56	ti_Sira (falsa)	Sira (falsa)	3127989	3886509	3299301	2179909	2623809	4303504	3705465	2780195	3004243	3141820	2067161	2015864	2113514	484585	1176744	1272377	695871	520216	228050	191080	182243	46003	45992	43674	4781	5327	0	28137	0	0	0	807	0	559	4792	0	0	0	14145	0	0	0	0	0	0	0	0	0	0	nd	0	0
57	ti_Tannat	Tannat	0	0	0	0	0	0	0	0	0	0	0	0	0	65320	65320	43800	68352	43762	129001	137749	351017	532348	1153030	948885	2153279	1791208	1762327	1511421	1270299	2077578	3487128	2051940	1893300	2285423	3263479	4561255	3055931	3514880	4711255	4199190	2266985	4152135	4585214	3612439	2644014	2761604	985207	3668851	2940306	nd	3571972	2634802
58	ti_Tempranillo	Tempranillo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12160	59028	96125	111158	192063	241017	242484	63526	256836	283929	219163	119398	182579	210551	357637	278456	nd	442330	968038
59	ti_Teroldego	Teroldego	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7193	41912	51645	61659	69876	105372	68593	179095	157368	124542	87820	97455	34019	87034	77625	nd	106764	717757
60	ti_Torrontes	Torrontes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4300	3090	9580	10070	1490	14630	16350	nd	9700	0
61	ti_Tinta Barroca	Tinta Barroca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6520	12870	6710	0	0	0	0	0	0	0	0	0	nd	0	0
62	ti_Touriga Francesa	Touriga Francesa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6775	4680	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
63	ti_Touriga Nacional	Touriga Nacional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26448	52099	42376	127462	101376	131833	97629	189928	133820	136565	86460	136611	53552	108245	122015	nd	150166	38910
64	ti_Tinta Madeira	Tinta Madeira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2508	1733	179	1493	0	54	0	0	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
65	ti_Tintoria	Tintoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21260	0	14930	0	0	14526	7218	0	0	0	0	3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
66	ti_Trincdeira	Trincdeira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3996	5780	3591	255	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
67	ti_Trousseau	Trousseau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
68	ti_Zinfandel	Zinfandel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	41460	45226	70341	310520	1567535	1216093	1816589	2500275	2517495	1885121	1011625	1689415	593579	84271	189989	140148	74289	60875	1541	479	0	0	0	0	372	0	0	0	0	0	0	0	0	nd	0	0
69	ti_Outras1	Outras1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7690	10833	15000	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
70	BRANCASEROSADAS	BRANCAS E ROSADAS	18858541	22168237	18073470	12213901	25625874	29361700	29805536	32674849	30557815	36390466	28354293	39473039	46757024	32040687	41615070	66103513	47542250	48998099	77578061	76181146	73556749	46526526	53561836	53106956	52888752	46675896	42887098	44119355	32115220	40486844	49613743	31608881	28623940	21018356	27340450	29066571	22335925	28254191	34602464	32556903	22104122	37931015	36519724	36958341	35769155	40130577	18769366	44058213	38722156	nd	41004206	71266239
71	br_Aliatico	Aliatico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	1850	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
72	br_Aligote	Aligote	530	1000	1969	0	618	5009	372	0	720	0	0	482	590	756	938	0	0	0	0	0	0	0	0	0	0	53465	0	0	23716	0	0	0	90	0	0	0	0	0	0	0	0	2640	0	0	0	0	0	0	0	nd	0	0
73	br_Altesse	Altesse	0	0	0	0	0	0	0	0	0	248	550	5430	11086	12938	15903	36111	43477	8556	39549	42682	40662	18270	31166	24592	28012	13250	110708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
74	br_Alvarinho	Alvarinho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	1596	0	2477	1071	1675	1088	6668	5081	12413	16147	9860	16369	41225	32647	nd	46574	242238
75	br_Arriloba	Arriloba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17439	26135	0	36661	34696	32954	49339	45825	27410	22832	51380	35375	33750	38390	40000	28829	31140	34120	17070	5280	2580	nd	2940	0
76	br_Auxerrois	Auxerrois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	0	3057	0	0	0	980	640	0	0	0	361	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
77	br_Burger	Burger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2665	20591	0	4280	0	0	0	0	18394	12215	17093	14640	25067	12295	14427	13028	6507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
78	br_Chardonnay	Chardonnay	0	0	0	0	0	0	0	0	0	0	0	766	2590	12370	17191	191484	352746	396887	1016199	1379927	1310807	2185942	3127459	4940497	6118355	3271043	3402706	4745010	2966716	1501537	2873611	2197800	1604484	1568275	1745396	4441390	1830171	1752488	5829449	4812743	3836555	4916344	6347044	6174156	5821514	7253167	3070142	7856910	6068902	nd	6514864	4200465
79	br_Chasselas	Chasselas	0	0	13255	0	0	0	271	0	0	916	1524	18384	44280	34988	48466	160169	123305	100699	189452	249408	239011	114585	135893	171949	113748	112411	126389	130461	80410	267566	179914	89938	113502	53094	84254	103057	111200	48268	58390	32425	47099	29543	0	0	0	0	0	0	0	nd	0	0
80	br_Chenin Blanc	Chenin Blanc	0	0	0	0	0	0	0	0	0	0	0	0	228	14681	14678	40276	110067	97373	226826	217512	386466	504502	383916	515270	461153	557814	493923	588756	398013	492063	496981	343919	231841	44622	386277	519802	400160	355185	362750	347230	73720	212900	257090	264090	146760	173321	60580	266524	387360	nd	465377	49100
81	br_Clairette(1)	Clairette(1)	146617	116887	120166	94006	116154	139266	144596	87281	86242	86382	29871	52133	67028	5834	11168	13929	12182	910	0	0	754	0	0	0	5228	0	153092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	nd	0	0
82	br_Colombard	Colombard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14480	23000	32200	28460	38460	26500	89500	128370	117660	0	203100	0	171673	282698	343181	276372	208977	153359	451264	654642	518836	593625	879719	717624	479201	445104	773273	673158	563589	512199	201659	535573	522866	nd	467614	97713
83	br_Flora	Flora	0	0	0	0	0	0	0	0	0	0	0	0	0	28568	28570	53233	52143	73563	132433	163005	184768	212220	335242	423725	345158	476088	346727	585629	311974	496779	581824	452383	215546	323181	259473	339979	251511	176396	176229	131760	35860	37620	68260	72410	45240	25090	1050	5810	2060	nd	0	0
84	br_Garganega	Garganega	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53010	45800	35110	16970	8530	3170	0	0	0	0	0	0	0	0	0	nd	540	439160
85	br_Gewurztraminer	Gewurztraminer	0	0	0	0	0	0	0	0	0	0	0	1008	1258	2438	8573	88037	206986	314215	740238	1266410	1616040	1648915	1220343	1663736	1206405	751049	844959	838944	417301	293892	474897	291364	161367	92344	253539	315932	142266	284818	196483	155338	105186	206833	327678	239469	162083	207303	85385	223350	208171	nd	192058	3201453
86	br_Gouveio	Gouveio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	1452	5312	5848	2090	7830	4358	0	0	0	0	0	0	0	0	nd	0	0
87	br_Gros Manseng	Gros Manseng	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744	4360	2500	5770	1800	3289	4430	7220	0	4640	4830	7410	0	5680	2430	nd	6296	0
88	br_Italia (Pirovano 65) (PE)	Italia (Pirovano 65) (PE)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650	2230	6405	61799	5671	40230	37820	0	180	2942	nd	200	1858705
89	br_Maccabeo	Maccabeo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3558	0	17670	0	0	0	nd	0	0
90	br_Malvasia	Malvasia	878012	611457	763732	645868	795847	1405733	332150	378085	1068838	1747354	2115375	1614552	2522725	1526008	1886676	3422293	2261265	1526629	3392751	3428752	3945671	2006859	2279929	2986640	2786463	2855822	1587944	1957293	1718461	1184410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
91	br_Malvasia Amarela	Malvasia Amarela	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27040	0	0	0	0	175917	400884	326928	228062	160402	169923	184579	61112	94281	131350	153905	251587	107015	115147	519959	149663	119930	10100	44445	52936	nd	24440	3980
