País|Continente|Código do país
Saara Ocidental|África|ESH
Saint Martin|Américas|MAF
Saint-Barthélemy|Américas|BLM
Saint Kitts e Nevis|Américas|KNA
Saint Pierre e Miquelon|Américas|SPM
Saint Vincente e Granadinas|Américas|VCT
Samoa|Oceania|WSM
Samoa Americana|Oceania|ASM
Santa Helena|África|SHN
Santa Lúcia|Américas|LCA
São Cristóvão e Nevis|Américas|KNA
São Marino|Europa|SMR
São Tomé e Príncipe|África|STP
São Vicente e Granadinas|Américas|VCT
Seicheles|África|SYC
Senegal|África|SEN
Serra Leoa|África|SLE
Sérvia|Europa|SRB
Singapura|Ásia|SGP
Síria|Ásia|SYR
Somália|África|SOM
Sri Lanka|Ásia|LKA
Sudão|África|SDN
Sudão do Sul|África|SSD
Suécia|Europa|SWE
Suíça|Europa|CHE
Suriname|Américas|SUR
Tadjiquistão|Ásia|TJK
Tailândia|Ásia|THA
Taiwan|Ásia|TWN
Tanzânia|África|TZA
Terras Austrais e Antárticas Francesas|Antártida|ATF
Território Britânico do Oceano Índico|África|IOT
Timor-Leste|Ásia|TLS
Togo|África|TGO
Tokelau|Oceania|TKL
Tonga|Oceania|TON
Trinidad e Tobago|Américas|TTO
Tunísia|África|TUN
Turcomenistão|Ásia|TKM
Turquia|Ásia|TUR
Tuvalu|Oceania|TUV
Ucrânia|Europa|UKR
Uganda|África|UGA
Uruguai|Américas|URY
Uzbequistão|Ásia|UZB
Vanuatu|Oceania|VUT
Vaticano|Europa|VAT
Venezuela|Américas|VEN
Vietnã|Ásia|VNM
Wallis e Futuna|Oceania|WLF
Zâmbia|África|ZMB
Zimbábue|África|ZWE
Alemanha, República Democrática|Europa|DDR
Antilhas Holandesas|Américas|ANT
Barein|Ásia|BHR
Belice|Américas|BLZ
Bósnia-Herzegovina|Europa|BIH
Cayman, Ilhas|Américas|CYM
Cingapura|Ásia|SGP
Coreia, Republica Sul|Ásia|KOR
Eslovaca, Republica|Europa|SVK
Guine Bissau|África|GNB
Ilhas Virgens|Américas|VIR
Marshall, Ilhas|Oceania|MHL
Países Baixos|Europa|NLD
Suazilândia|África|SWZ
Taiwan (FORMOSA)|Ásia|TWN
Tcheca, República|Europa|CZE
Coreia do Sul, Republica da|Ásia|KOR
Filândia|Europa|FIN
Paises Baixos (Holanda)|Europa|NLD
Taiwan (Formosa)|Ásia|TWN
Trinidade e Tobago|Américas|TTO
Outros(1)|N/A|N/A
Bosnia|Europa|BIH
Burquina Faso|África|BFA
Camores|África|COM
Coveite|Ásia|KWT
Falkland (Ilhas Malvinas)|Américas|FLK
Faroé, Ilhas|Europa|FRO
Jérsei|Europa|JEY
Russia, Federação da|Europa|RUS
Trindade e Tobago|Américas|TTO
Turcas e Caicos, ilhas|Américas|TCA
Provisão de Navios e Aeronaves|N/A|N/A
Alemanha, República Democrática da|Europa|DDR
Birmânia|Ásia|MMR
Dominica, Ilha de|Américas|DMA
Falkland (Malvinas)|Américas|FLK
Guiné Bissau|África|GNB
Iugoslâvia|Europa|YUG
República Centro Africana|África|CAF
República Federativa da Rússia|Europa|RUS
Filânldia|Europa|FIN
